Conc_Fe(%),Conc_SiO2(%),Conc_Al2O3(%),Conc_LOI(%),Conc45_micron(%),Blane_No_cm2_g,CRM_dust_kg_t,ESP_DUST_kg_t,SMS_sludge_DRY_kg_t,Green_Pellet_Moisture(%),Green_Pellet_GCS_kg,Green_Pellet_Drop_No.,FEED_RATE_tph,MACHINE_SPEED_m_min,FIRING_TEMP_C,BURNTHRU_TEMP_C,DR_Main_temp_C,UDD_FAN_PRESSURE_mmWC,UDD_FAN_TEMP_C,WBR_PRESURE_mmWC,WBR_FAN_TEMP_C,CA_PRESSURE_mmWC,2nd_cooling_zone_pressure_mmWC,2nd_cooling_zone_temp_C,Pellet_CCS_Kg_p,TI,AI
62.38,4.11,2.86,3.3,65.3,1735,3.44,0.62,2.16,9.92,1.03,11,598,2.97,1295,292,848,307,232,-411,159,502,-87.14,122,248.33,90.76,7.6
61.78,5.19,3,2.99,64.88,1646.67,1.87,3.3,2.16,10.14,1.04,10,599,3.01,1303,292,888,318,255,-405,161,504,-88.99,144,254.5,91.31,7.13
61.73,5.27,3.07,2.97,67.2,1765,1.9,5.67,2.16,10.07,1.02,8,598,3.19,1304,289,893,318,260,-404,158,500,-85.18,146,259,90.8,7.67
61.64,5.24,3.02,3,67.03,1683.33,1.66,0.92,2.16,9.95,1.04,8,595,3.11,1296,294,899,320,257,-406,162,509,-84.1,149,258.17,91.28,7.09
61.95,4.6,2.88,3.24,66.87,1841.67,3.01,0.87,2.11,10.13,1.03,10,608,3.07,1297,286,892,321,243,-410,158,498,-84.85,133,254,90.4,7.84
62.11,4.4,3.12,3.14,66.92,1693.33,0.86,0.54,2.15,10.08,1.01,10,606,3.1,1300,281,892,316,247,-410,155,498,-84.35,136,258,90.69,7.76
62.06,4.06,3.17,3.47,66.96,1728.33,1.63,1.17,2.11,10.11,1.03,11.08,608,3.14,1301,295,913,320,251,-394,161,485,-84,138,244.67,90.13,8.04
62.06,3.39,3.45,3.71,67.74,1736.67,3.89,7.46,2.11,10.38,1.04,11.42,619,3.15,1284,281,879,318,242,-406,152,490,-84.71,131,238.33,90.36,8.07
61.39,4.48,3.31,3.77,68.77,1691.67,4.69,7.55,2.04,10.46,1.04,12.08,619,3.08,1287,295,879,318,237,-396,160,483,-84.62,129,240.5,91.31,7
61.92,4.06,3.3,3.59,67.23,1778.33,4.27,7.95,2.03,10.42,1.04,12.08,618,3.04,1296,282,890,313,236,-407,157,484,-84.64,134,246.5,91.71,6.38
