Conc_Fe(%),Conc_SiO2(%),Conc_Al2O3(%),Conc_LOI(%),Conc45_micron(%),Blane_No_cm2_g,CRM_dust_kg_t,ESP_DUST_kg_t,SMS_sludge_DRY_kg_t,Green_Pellet_Moisture(%),Green_Pellet_GCS_kg,Green_Pellet_Drop_No.,FEED_RATE_tph,MACHINE_SPEED_m_min,FIRING_TEMP_C,BURNTHRU_TEMP_C,DR_Main_temp_C,UDD_FAN_PRESSURE_mmWC,UDD_FAN_TEMP_C,WBR_PRESURE_mmWC,WBR_FAN_TEMP_C,CA_PRESSURE_mmWC,2nd_cooling_zone_pressure_mmWC,2nd_cooling_zone_temp_C,Pellet_CCS_Kg_p,TI,AI
61.19,5.55,2.91,3,65.1,1591.67,3.04,5.58,4.24,10.19,1.03,12.17,604,2.98,1291,315,875.9,344.64,234.99,-397.4,166.69,499.32,-93.08,120.84,253,92.38,5.87
60.92,6.04,3.06,2.96,65.22,1668.33,2.67,6.87,4.23,10.28,1.02,13.33,600,2.96,1299,315,869.47,346.77,227.99,-399.81,167.71,499.46,-94.49,116.41,255,93.11,5.29
61.4,5.26,3.07,3.05,63.45,1593.33,1.83,3.29,4.82,10.2,1.02,11.39,602,2.96,1299,317,869.88,341.99,232.81,-394.57,167.19,496.44,-93.87,125.97,257,92.91,5.62
61.37,5.06,2.97,3.16,62.68,1433.33,2.63,4.66,4.75,10.21,1.03,10.79,606,2.97,1305,309,865.55,343.69,232.11,-413.2,162.24,509.71,-93.21,122.77,252,92.16,6.13
61.31,5.23,2.7,3.3,63.35,1391.67,3.12,6.62,4.25,10.14,1.03,9.67,603,2.98,1299,318,877.73,340.58,235.6,-400.23,169.03,500.84,-88.75,128.46,254,92.51,5.89
61.3,5.43,2.6,3.17,64.07,1446.67,2.43,0.15,3.5,10.11,1.02,10.42,606,2.98,1304,316,865.85,341.19,229.03,-397.34,166.7,493.29,-91.15,123.24,259,92.44,6.04
61.35,5.54,2.49,3.02,64.38,1445,3.15,2.83,4.21,10.07,1.03,9.33,605,3.1,1302,311,845.78,347.4,223.67,-400.44,163.22,496.65,-94.82,111.43,250,91.91,6.58
61.92,4.91,2.7,3.08,62.51,1373.33,2.73,2.9,4.21,10.03,1.03,9.25,607,3.05,1303,332,882.4,347.47,245.03,-389.91,169.96,499.52,-92.77,123.77,250,91.73,6.73
61.85,4.84,2.69,3.24,61.74,1371.67,3.24,2.95,4.25,10.14,1.03,8.88,597,2.95,1305,325,881,342.64,238.49,-400.7,168.52,510.07,-90.25,125.76,256,91.93,6.47
62.04,4.72,2.59,2.98,62.42,1456.67,2.87,2.52,4.2,10.04,1.02,9.5,601,2.98,1306,312,869,339.51,241.99,-411.37,164.83,519.56,-88.85,129.33,252,91.69,6.84
61.51,5.07,2.76,3.25,63.69,1461.67,2.06,2.48,4.95,10.19,1.02,10.21,596,3,1304,314,860.9,346.91,229.85,-397.09,166.9,489.71,-90.55,125.6,250,92.13,6.29
61.39,5.52,2.92,3.02,64.63,1615,1.91,0.2,6.4,10.14,1.03,9.71,610,3,1300,318,869.63,350.27,234.97,-399.7,169.05,499.68,-92.63,126.05,256,92.31,6.22
61.37,5.31,2.93,3.14,65.18,1761.67,2.69,1.32,6.39,10.07,1.04,12.21,603,2.97,1303,312,850.29,346.85,222.79,-388.26,171.79,483.83,-93.39,121.94,254,92.04,6.27
61.09,5.37,3.06,3.21,64.66,1833.33,2.13,5.01,5.64,10.24,1.03,12.13,599,2.94,1294,311,861.47,353.8,226.82,-393.47,174.88,494.23,-94.5,123.95,251,92.4,5.87
61.18,5.61,2.99,3.14,64.35,1795,0,0.94,6.45,10.05,1.01,11.75,482,2.53,1268,364,737.08,284.71,185.89,-339.05,200.99,390.68,-84.82,101.36,257,93.33,5
61.3,5,3,3.41,67.39,1735,2.32,4.28,6.63,10.23,1.03,13.67,580,3,1298,283,828.59,331.2,210.27,-373.69,176.18,455.13,-90.84,116.84,245,92.47,5.84
61.19,5.43,3.05,3.26,64.33,1613.33,2.48,3.44,6.42,10.1,1.03,11.83,601,3.11,1297,290,864.53,347.52,236.42,-396.51,161.06,487.74,-92.16,130.97,257,91.69,6.6
60.34,5.83,3.42,3.49,65.77,1745,2.06,9.11,6.5,10.32,1.01,13.17,591,3.17,1296,288,857.82,354.06,224.42,-402.92,160.88,485.95,-93.97,113.21,242,92.53,5.69
61.89,4.82,2.87,3.05,64.84,1800,0.6,0.29,6.58,10.2,1.04,11.5,598,3.14,1299,319,892.54,346.17,246.06,-385.89,171.9,491.15,-90.85,131.25,250,91.8,6.6
61.24,5.29,3.17,3.15,64.62,1918.33,2.15,2.17,6.73,10.23,1.01,12.67,572,3.01,1291,316,846.16,337.92,223.54,-371.77,175.85,463.13,-89.56,115.55,249,92.6,5.78
61.39,4.97,3.17,3.14,65.93,2006.67,1.48,3.19,4.18,10.28,1.02,12.21,607,3.22,1289,304,892.92,352.77,251.12,-397.86,160.43,500.8,-93.32,132.41,249,91.8,6.4
61.64,5.19,2.95,2.96,63.75,1838.33,2.18,4.03,4.24,10.11,1.02,10.54,604,3.16,1282,312,885.02,352.25,247.42,-405.56,158.83,508.92,-92.51,126.28,251,91.22,7.11
61.14,5.47,3.09,3.17,65.38,1980,2.71,5.21,3.5,10.26,1.02,11.54,598,3.23,1275,319,880.54,340.38,246.35,-401.44,158.09,505.38,-87.12,121.36,249,91.27,7.07
61.58,5.42,2.75,3.04,62.72,1726.67,3.26,4.24,3.58,10.16,1.03,10.08,599,3.17,1293,303,883.92,339.74,246.77,-425.8,153.15,526.76,-85.07,123.72,245,91.2,7.04
62.12,4.94,2.61,2.75,62.82,1700,2.43,6.33,6.41,10.21,1.01,10,597,3.07,1280,329,888.83,353.31,248.07,-411.18,163.21,521.73,-92.27,124.51,255,91.5,6.73
61.49,5.37,2.8,3,65.28,1866.67,2.57,5.37,6.42,10.2,1.02,10.46,602,3.1,1276,337,886.53,352.87,247.43,-404.13,163.25,515.58,-90.98,117.94,253,91.4,6.84
61.5,5.01,2.99,3.09,65.16,2016.67,2.62,11.08,6.37,10.29,1.03,11.5,602,3.19,1295,312,876.95,353.65,239.59,-411.18,155.65,507.41,-94.32,115.09,250,91.2,7
61.29,5.25,2.98,3.13,64.47,1946.67,2.89,9.67,6.41,10.2,1.03,11.5,598,3.21,1291,301,883.58,349.23,243.26,-407.35,154.27,501.51,-92.7,120.66,249,92,6.29
61.17,5.4,3.03,3.17,65.24,1980,2.73,1.1,6.4,10.35,1.02,13.04,599,3.22,1276,305,879.13,351.62,241.68,-412.09,153.41,504.21,-92.63,116.02,243,92,6.24
61.1,5.62,3.06,3.06,65.17,2108.33,2.41,3.4,6.33,10.34,1.03,12,600,3.22,1276,316,875.76,345.82,240.58,-401.67,156.63,494.93,-93.21,114.58,251,91.4,6.67
61.58,5.31,2.75,2.97,65.55,2138.33,2.79,5.29,4.24,10.17,1.03,11.88,598,3.15,1278,323,866.26,347.08,240.32,-400.44,160.07,500.76,-93.66,112.48,245,91.5,6.89
61.49,5.05,2.97,3.04,64.67,2126.67,3.19,1.6,6.41,10.2,1.02,15.63,596,3.18,1280,317,873.8,346.83,240.61,-402.36,158.03,506.47,-93.27,116.55,248,91.5,6.82
61.78,4.73,2.83,3.13,64.65,2110,3.45,7.23,5,10.15,1.04,12.96,588,3,1280,334,882.59,352.18,237.98,-406.94,158.89,514.79,-93.62,117.82,247,91.4,6.82
60.98,5.44,3.03,3.28,65.87,2083.33,2.25,11.23,6.41,10.3,1.02,10.5,598.01,3.19,1289.18,316.52,858.18,339.17,229.88,-400.47,156.69,495.39,-91.94,110.48,244.83,91.5,6.76
61.49,4.9,2.81,3.24,63.29,2038.33,2.36,5.32,6.43,10.02,1.03,11.04,593.53,3.12,1298.39,335.02,869.29,342.75,230.61,-391.5,166.64,495.11,-93.1,112.26,244.17,91.3,6.73
61.13,4.98,3.02,3.4,64.31,1993.33,3.21,12.55,6.39,10.34,1.04,13.29,601.19,3.11,1305.87,311.92,872.41,348.52,229.63,-414.3,157.3,509.08,-90.67,110.73,246.67,91.6,6.36
61.5,4.94,2.83,3.2,63.47,1776.67,2.69,14.51,6.32,10.24,1.03,11.67,608.12,3.1,1289,321.42,876.73,336.41,238.47,-405.62,158.82,507.36,-88.22,120.29,249.17,91.5,6.38
61.54,4.95,2.8,3.12,64.7,1850,4.65,11.75,12.18,10.11,1.03,11.96,603.84,3.11,1285.62,339.98,876.09,354.01,227.62,-397.53,160.2,499.89,-94.64,111.38,251,91.4,6.73
61.54,4.95,2.8,3.12,66.65,1850,24.58,24.3,21.12,10.36,1.03,13,464.94,2.39,1257.22,394.82,1373.63,250.87,160.49,-305.79,187.95,319.22,-78.15,74.52,251,91.4,6.73
61.24,5.34,3.02,3.01,65.28,1785,3.75,3.24,6.17,10.38,1.03,13.67,613.5,3.08,1293.93,324.2,849.38,343.9,223.64,-393.18,166.46,487.86,-93.55,108.19,249.17,91.58,6.24
61.03,5.66,2.95,3.07,64.83,1726.67,2.81,9.4,6.18,10.45,1.03,14.17,622.14,3.1,1299.16,316.15,851.56,350.01,231.06,-409.77,158.4,500.99,-94.28,112.64,252.67,91.8,6.36
61.09,5.76,2.94,2.93,64.23,1745,2.23,9.96,6.21,10.37,1.04,14.04,624.32,3.12,1298.37,328.09,870.47,351.16,232.79,-405.25,162.31,499.66,-93.82,111.62,253.17,91.6,6.56
60.38,6.39,3.07,3.04,65.05,1880,2.65,11.45,6.22,10.36,1.04,15.63,622.7,3.11,1294.47,323.41,852.91,348.19,220.76,-401.57,163.25,498.23,-94.03,102.65,249.33,91.67,6.31
60.27,6.34,3.13,3.12,63.15,1833.33,2.58,6.47,6.15,10.43,1.03,21.29,620.94,3.14,1288.76,322.06,843.44,346.77,211.28,-400.23,164.58,490.05,-94.24,99.52,251.33,91.64,6.4
60.95,5.58,3.06,3.09,64.29,1923.33,3.25,10.94,6.23,10.39,1.03,20.17,621.83,3.16,1282.48,336.81,833.93,344.95,211.23,-390.07,167.2,486.91,-94.08,100.95,251,91.6,6.53
61.39,5.48,2.66,2.98,61.02,1645,3.29,6.52,6.26,10.17,1.03,13.83,622.56,3.13,1289.86,357.33,850.94,351.4,223.77,-382.68,171.32,495.73,-94.18,109.52,250.33,91.11,7.02
61.39,5.6,2.69,2.98,62.06,1728.33,2.67,5.75,5.63,10.28,1.03,14.24,611.41,3.04,1300.21,333.57,858.45,348.97,228.64,-402.43,163.86,505.41,-94.07,110.56,252.5,91.71,6.44
61.47,4.95,2.97,3.17,61.86,1786.67,1.85,2.06,6.26,10.4,1.04,15.08,622.81,3.14,1293.95,333.46,873.74,352.75,232.81,-400.33,161.98,504.47,-92.1,112.61,248.5,91.71,6.24
61.46,4.48,3.15,3.49,62.75,1735,3.28,6.86,7.68,10.44,1.03,20.25,466.61,2.58,1281.97,370.64,791.72,265.86,185.45,-290.58,179.85,400.27,-81.95,89.95,257.33,93.04,5.31
60.81,4.78,3.34,3.78,64.7,1858.33,2.32,8.03,7.07,10.57,1.04,17.75,556.13,2.91,1288.24,357.25,797.65,322.77,191.66,-364.58,170.36,462.19,-88.95,89.12,252.83,92.29,5.98
60.77,4.67,3.11,3.89,63.71,1741.67,2.38,10.63,4.72,10.63,1.04,14.67,548.24,2.87,1287.73,367.68,796.48,312.2,204.43,-369.36,175.46,439.98,-89.34,96.02,245.5,91.4,6.64
60.61,4.98,3.3,3.99,62.82,1613.33,2.62,11.73,6.97,10.7,1.04,16.67,568.12,2.94,1286,369,796,316.46,207.03,-385.12,172.53,461.38,-89.49,95.13,249.17,91.49,6.71
60.14,5.52,2.99,3.94,63.99,1598.33,3.46,7.16,6.99,10.68,1.05,16.5,560.46,2.93,1268,374,813.9,310.54,212.1,-354.48,173.28,418.16,-89.18,100.72,246.5,91.87,6.33
60.01,5.04,3.13,4.16,68.63,1800,3.98,11.61,9.51,10.72,1.04,16.96,462.52,2.62,1264.19,392.68,772.12,267.6,181.62,-280.19,181.9,371.95,-83.87,83.83,257.33,93.27,5.33
59.55,5,3.28,4.57,65.99,1673.33,4.49,4.75,9.39,10.69,1.04,14.46,418.88,2.53,1264.56,398.61,787.59,241.11,180.13,-253.32,183.38,346.9,-79.08,87.01,261.5,93.51,5.13
60.26,5.81,3.03,3.69,62.84,1621.67,5.58,5.27,9.36,10.43,1.04,14.46,421.28,2.49,1267.62,397.36,780.96,240.55,178.91,-252.75,182.52,350.85,-78.9,84.73,254.5,93.76,4.8
60.41,5.83,3.04,3.49,67.8,1748.33,3.01,7.68,7.32,10.53,1.04,15.13,527.63,2.8,1273.76,381.47,795.33,294.49,202.72,-334.08,177,425.29,-82.75,92.17,261.33,93.51,4.8
60.84,5.48,2.94,3.21,66.58,1723.33,2.54,0.52,7.68,10.55,1.03,16.88,491.49,2.61,1271.44,397.35,779.41,284.75,185.01,-296.87,184.99,385.73,-87.36,90.85,259.83,93.93,4.36
59.91,5.87,3.08,3.53,67.68,1945,3.4,5.12,8.55,10.56,1.03,19.71,440.77,2.55,1261.44,389.73,769.03,251.93,199.41,-278.86,180.52,327.81,-84.32,98.32,268.5,94.18,4.11
60.49,5.76,3.11,3.16,71.21,1995,3.93,5.55,6.77,10.47,1.03,20.78,399.37,2.4,1254.19,397.98,756.84,233.63,184.12,-244.34,187.09,309.57,-79.53,89.04,266.17,94,4.47
61.5,5.32,2.98,3,67.76,1730,2.69,2.34,5.82,10.33,1.03,20.82,437.58,2.48,1261.77,406.11,804.39,252.99,204.54,-265.38,194.55,348.37,-80.3,99.56,267.33,94.22,3.96
60.92,6.65,2.93,2.72,67.07,1865,3.88,3.27,2.64,10.31,1.03,17.47,383.09,2.31,1247.45,411.99,770.98,225.61,182.54,-205.64,196.34,293.44,-80.82,89.44,267.17,95.22,3.64
60.44,6.34,3.26,3.24,65.54,1803.33,4.62,4.2,3.06,10.51,1.04,16.88,416.56,2.34,1266.35,411.64,818.18,242.79,200.56,-238.25,184.9,325.89,-80.53,91.51,286.5,95.36,3.6
60.45,6.71,3.09,3.24,62.69,1603.33,5.14,0.26,3.51,10.25,1.03,18.21,371.92,2.3,1247.8,391.84,816.15,220.81,194.66,-217.36,178.91,311.64,-76.76,89.81,283.33,94.93,3.89
60.38,6.56,3.26,3.15,60.73,1645,3.42,3.04,3.76,10.41,1.03,13.46,474.23,2.45,1272.45,398.77,813.46,268.21,201.05,-284.53,184.86,381.38,-79.81,98.3,281.17,93.53,4.98
61,5.84,2.85,3.07,60,1653.33,3.44,5.17,2.77,10.2,1.04,12.04,462.5,2.39,1269.17,402.34,809.74,260.49,209.18,-285.55,181.51,360.19,-79.85,100.32,274,94.07,4.33
59.91,4.67,3.61,4.57,62.3,1700,4.8,1.59,3.01,10.77,1.04,16.83,434.17,2.37,1268.44,396.32,760.52,251.29,172.95,-267.69,180.18,330.42,-79.29,82.99,265.67,93.18,5.18
59.69,5.05,3.77,4.39,60.79,1483.33,9.33,1.44,7.14,10.78,1.03,13.79,324.71,2.14,1223.61,404.2,781.59,196.19,185.44,-194.33,187.9,255.32,-76.4,89.31,261.83,93.29,5.56
60,5.27,3.57,3.95,58.21,1347.5,2.71,2.32,3.87,11.07,1.06,13.38,497.62,2.6,1273.9,382.6,787.14,278.3,210.79,-330.12,178.1,396.15,-84.23,106.74,244,91.27,7.1
60.83,5.87,3.08,3.17,59.05,1390,2.83,5.05,2.36,10.52,1.03,11.75,549.21,2.74,1293.85,389.52,818.33,317.67,209.64,-368.46,179.83,482.79,-86.01,95.09,259.67,92.22,6.09
61.05,5.98,2.8,3.12,60.5,1448.33,2.31,3.91,2.2,10.3,1.03,11.54,588.87,2.95,1287.86,382.08,842.68,338.54,214.9,-382.06,242.63,511.09,-89.73,97.55,264.5,92.67,5.62
60.88,5.82,2.9,3.43,62.21,1500,3.11,12.34,4.52,10.37,1.04,12.75,572.84,2.92,1286.82,340.27,837.73,327.75,212.25,-378.18,167.13,463.84,-87.49,107.1,256.67,91.78,6.09
60.27,5.83,3.31,3.67,62.26,1643.33,3.44,11.94,4.51,10.68,1.05,17.25,579.26,2.92,1299.52,343.22,828.81,336.73,202.39,-395.86,171.65,461.06,-91.91,97.16,253.83,91.58,6.22
60.85,5.74,3.31,3.11,59.07,1441.67,3.86,10.01,4.47,10.39,1.02,15.42,566.11,2.84,1300.72,360.49,842.69,334.82,220.42,-388.33,170.1,481.41,-91.06,107.41,257,91.93,6.24
60.27,6.38,3.26,3.18,60.29,1506.67,4.15,3.25,4.65,10.32,1.04,14.38,552.82,2.79,1297.13,371.85,845.03,330.2,221.48,-368.98,176.76,458.12,-93.26,104.33,263.67,92.22,6.16
60.05,6.69,3.18,3.19,59.26,1490,0.49,0.25,5,10.31,1.06,12.33,563.91,2.91,1278.44,357.45,841.94,316.06,222.84,-352.43,171.77,451.02,-87.66,109.04,246.5,92.67,5.71
60.25,7.62,2.79,2.65,61.24,1633.33,0.85,0.19,4.4,10.23,1.03,15.72,602.66,3,1261.47,335.72,835.54,333.93,226.41,-377.16,164.84,476.91,-90.84,107.86,258.67,91.64,6.62
60.44,6.85,2.91,2.99,59.56,1675,2.11,4.43,4.33,10.15,1.02,16.54,597.03,2.98,1280.53,342.17,849.27,334.91,224.93,-382.8,167.22,491.85,-87.69,111.76,256.83,92.02,6.31
61.53,5.44,2.75,3,60.52,1730,2.57,9.93,4.33,10.32,1.03,17.13,602.89,2.98,1283.65,338.56,846.97,337.59,220.01,-387.86,165.73,493.03,-88.45,105.49,247.5,91.67,6.33
60.99,5.69,2.94,3.3,61.17,1801.67,2.01,12.35,3.52,10.33,1.03,17.29,610.87,3.08,1281.17,334.87,855.29,350.66,224.48,-398.51,163.8,507.77,-89.52,109.26,244.83,91.69,6.31
60.48,5.94,3.35,3.41,67.34,2018.33,4.26,5.53,2.89,10.44,1.03,22,489.01,2.65,1270.12,346.33,778.4,283.3,194.54,-350.34,175.12,388.32,-83.49,99.6,252.5,92.36,5.82
60.92,6.02,3.11,3.03,65.96,1920,2.88,7.54,3.74,10.41,1.04,20.58,578.98,2.94,1283.28,322.74,826.92,337.52,223.93,-403.45,166.22,471.37,-93.66,115.11,242.17,92.09,5.89
61.83,5.46,2.61,2.67,63.75,1805,3.44,8.93,4.4,10.32,1.03,17.04,591.46,2.96,1286.88,341.83,848.98,340.51,224.97,-385.71,168.01,486.91,-89.64,112.38,248.5,91.98,6.04
61.51,5.85,2.74,2.66,62.62,1533.33,3.51,4.09,3.58,10.18,1.02,14.63,597.48,2.9,1279.23,349.99,837.47,332.53,231.74,-392.83,167.17,476.28,-89,116,260,92.11,6.09
60.83,6.47,2.96,2.95,61.58,1468,3.2,11.14,2.2,10.33,1.03,16.21,588,2.89,1280.51,367,838.04,329.67,231.12,-383.08,174.56,448.81,-89.64,116.34,251,92.16,6.07
60.94,5.21,3.17,3.57,61.3,1528,3.6,8.75,0.76,10.41,1.04,16.54,594.28,2.91,1284.75,369.09,849.2,343.58,221.98,-379.05,173.99,471.27,-89.13,107.19,242.33,92.38,5.78
60.48,5.95,2.96,3.32,61.47,1568,2.55,1.02,6.52,10.42,1.03,14.17,598.63,2.9,1292.57,381.96,857.95,348.11,225.88,-375.18,179.89,474.24,-89.18,107.14,249.83,92.11,6.11
60.72,5.72,3.03,3.17,58.74,1528,0.85,0.1,6.51,10.15,1.04,11.13,600.65,2.97,1273.05,369.01,849.19,341.23,229.87,-372.32,176.88,496.06,-89.48,114.92,253.83,91.98,6.38
60.37,5.76,3.04,3.42,61.14,1548,3.13,0.52,6.97,10.15,1.04,15.71,554.44,2.82,1286.11,377.21,829.33,306.35,221.95,-336.33,177.24,427.72,-88.63,111.29,259.83,92.58,5.67
60.51,6.7,2.65,2.78,58.23,1533,3.77,0.16,6.75,10.05,1.03,8.96,568.28,2.74,1280.78,387.93,824.54,317.91,224.04,-360.26,184.06,494.81,-89.52,111.01,264,92.49,6.09
60.97,6.46,2.38,2.78,58.64,1463,1.66,12.07,6.54,10.12,1.04,9.58,588.98,2.87,1280.39,376.42,838.64,331.76,226.64,-377.23,180.23,502.57,-90.02,113.14,260.83,92.09,6.38
60.9,5.99,2.49,3.11,59.69,1510,3.09,5.92,5.7,10.1,1.02,10.5,596.84,2.94,1279.1,366.55,831.27,329.03,217.86,-366.94,178.59,483.16,-88.44,109.14,256.17,92.84,5.8
61.55,5.57,2.44,3.01,58.64,1533,3.41,1.4,2.42,10.11,1.03,11.21,556.51,2.83,1287.7,376.35,827.47,308.79,217.92,-355.89,182.58,470.65,-87.27,110.01,257.67,91.96,6.91
64.19,3.4,1.76,2.55,59.05,1198,0,0.04,0,10.16,1.03,4.75,523.98,2.61,1302.52,371.03,831.62,315.1,225.06,-405.78,182.59,524.49,-89.09,116.01,246,90.91,7.58
64.43,3.15,1.75,2.51,64.25,1378,0,0.19,0,9.85,1.02,6.08,525.17,2.68,1301.42,412.2,860.83,296.52,228.27,-326.3,188.57,439.44,-88.53,110.33,246.33,92.33,6.29
63.66,3.69,1.94,2.75,66.44,1633,0,0,6.09,10.07,1.03,8.21,556.17,2.83,1296.44,404.69,849.93,308.76,222.21,-336.27,187.2,445.23,-89.87,108.45,260.33,92.33,6.16
61.02,5.76,2.73,3.11,60.42,1460,2.03,0.5,7.71,10.18,1.02,9.83,614.93,3.07,1298.73,352.67,863.51,339.03,233.14,-392.66,166.52,508.69,-88.73,118.42,260.17,91.07,7.29
61.21,5.93,2.58,2.98,59.14,1362,6.5,2.16,6.99,9.98,1.03,8.96,612.15,3.03,1311.02,345.59,856.02,342.08,236.8,-411.21,166.19,518.93,-89.22,120.2,254.83,90.62,7.8
60.75,6.5,2.65,2.93,60.48,1383,2.45,1.12,7.67,10.12,1.02,11.29,614.64,3.13,1316.48,349.79,872.42,340.38,239.52,-391.75,163,498.31,-88.81,121.92,256.67,91.53,6.84
60.11,7.37,2.77,2.93,60.4,1315,2.61,1.75,7.14,10.03,1,11,520.82,2.78,1284.27,376.99,785.07,279.12,206,-347.79,173.67,404.58,-82.22,109.65,253,91.87,6.6
60.33,7.04,2.73,2.89,62.42,1540,2.65,6.38,6.31,10.03,1.03,14.67,607.52,2.98,1308.55,349.85,846.4,340.8,228.24,-383.74,178.54,481.38,-88.22,119,254.83,91.93,6.49
60.91,6.04,2.74,3,61.3,1517,3.53,3.63,7.7,10,1.03,14.88,608,2.93,1303.72,336.02,840.15,338.88,219.98,-396.05,170.55,497.23,-88.15,115.94,258.67,91.67,6.64
60.52,5.91,3.08,3.23,62.85,1622,3.2,6.68,7.16,10.14,1.03,12.79,595.69,2.9,1310.73,352.45,856.94,332.62,224.54,-401.52,167.6,476.48,-88.49,116.86,251.33,92.73,5.69
60.21,6.26,3.09,3.32,63.13,1693,3.74,6.51,8.3,10.18,1.03,14.54,571.46,2.81,1307.99,374.5,838.47,321.16,224.59,-378.31,174.56,445.19,-89.37,114.72,254.83,92.67,5.56
59.86,7.28,3.03,3.09,61.49,1533,2.54,0.99,8.14,10.22,1.04,13.13,581.47,2.86,1299.02,370,848.94,332.66,229.32,-389.11,172.83,469.79,-89.94,116.88,256.83,92.62,5.69
60.16,6.29,3.15,3.51,62.97,1625,3.04,8.6,7.25,10.35,1.03,17.17,584.14,2.88,1302.75,367,830.65,331.45,219.19,-388.98,169.28,454.2,-89.6,107.59,255,92.2,6.04
60.05,6.27,3.01,3.61,62.16,1475,3.31,9.3,8.84,10.35,1.03,17.04,588.15,2.93,1319.3,352.87,833.51,334,221,-394.7,161.75,471.63,-89.21,109.12,256.83,91.96,6.4
59.62,6.55,3.3,3.87,62.97,1620,2.89,5.41,8.77,10.64,1.03,24.29,588.67,3.01,1320.88,342.98,824.6,334.98,220.46,-403.85,160.8,471.32,-89.9,110.82,254.83,92.24,6.13
60.17,6.35,3.03,3.55,61.26,1421.67,2.35,7.28,8.7,10.47,1.02,14.29,597.76,2.98,1311.96,352.66,844.85,336.71,231.77,-403.3,164.63,478.64,-87.37,117.94,254.33,91.64,6.47
59.89,6.83,2.99,3.47,62.94,1598.33,0.51,7.9,8.49,10.45,1.04,14.38,606.82,3.02,1308.01,335.77,856.2,341.54,222.66,-417.23,161.75,507.25,-89.68,116.77,254.83,91.62,6.67
59.58,7.27,3.12,3.36,62.09,1565,0.82,10.3,8.49,10.42,1.02,14.46,606.73,3.02,1309.45,340.72,849.76,333.8,228.6,-399.4,165.8,474.2,-89.8,122.4,257.67,91.24,7.07
59.82,6.76,3.09,3.61,61.59,1493.33,1.25,2.17,7.83,10.57,1.03,15.67,606.49,3.03,1311.55,357.52,850.21,347.4,218.39,-396.61,165.69,487.04,-94.77,107.24,257,92.22,5.98
59.39,6.78,3.37,3.83,62.83,1700,3.59,4.91,8.76,10.6,1.02,20.25,592.4,3,1306.35,344.89,813.81,335.24,202.56,-389.68,163.76,463.48,-92.82,100.27,251.83,91.58,6.64
58.67,7.12,3.69,4.06,67.89,2105,3.23,5.23,9.23,10.87,1.03,23.13,557.71,2.86,1289.35,356.97,782.12,314.34,194.05,-382.92,167.96,419.65,-91.94,96.39,244,91.78,6.07
58.98,6.75,3.59,4.12,65.14,2161.67,2.2,10.72,9.27,10.82,1.04,31.75,574.17,2.9,1292.38,350.16,787.4,315.41,207.37,-399.5,164.82,418.68,-93.64,99.79,238,92.13,5.73
59.69,6.29,3.13,3.7,64.69,1983.33,2.68,5.62,8.95,10.6,1.04,25.21,588.16,2.83,1302.86,363.71,808.79,324.84,220.56,-401.26,172.06,440.41,-93.98,106.49,245,91.73,6.49
60.35,5.97,3.13,3.28,62.78,1846.67,3.81,12.02,8.71,10.48,1.03,21.33,597.17,2.87,1306.36,356.32,826.44,336.14,224.75,-409.24,169.25,472.61,-93.89,111.1,254,91.58,6.62
60.89,6.06,3.05,3.04,61.02,1601.67,4.23,1.9,7.95,10.34,1.03,15.79,602.56,2.89,1303.98,369.33,846.05,336.32,226.48,-395.55,174.81,483.32,-93.57,115.39,256,91.67,6.67
61.46,5.04,2.84,3.32,57.5,1358.33,0,0,7.92,10.25,1.03,13.21,596.47,2.83,1306.4,370.7,848.54,344.03,231.76,-407.74,175.42,515.85,-91.1,116.96,255,91.38,6.64
61.12,5.8,2.98,3.19,58.92,1435.83,3.62,1.15,8.48,10.34,1.03,12.63,606.78,2.95,1300.76,364.65,864.01,344.99,238.46,-411.59,169.76,514.31,-88.66,119.07,261,91.56,6.73
61.14,6,2.82,2.9,60.82,1558.33,0,0.33,8.34,10.25,1.02,10.79,609.82,3.03,1296.17,359.14,863.37,345.78,245.07,-409.71,167.97,520.29,-89.56,127.18,256,91.51,6.82
61.05,6.14,2.6,2.97,60.31,1463.33,0,0.3,8.41,10.2,1.03,10.46,607.78,3.04,1300.94,362,864.53,341.4,244.61,-409.17,164.97,517.15,-89.27,124.33,258,91.64,6.84
60.41,6.65,2.74,3.02,59.11,1531.67,1.28,4.72,8.42,10.09,1.03,10.5,609.88,3,1301.97,364.5,865.45,345.04,235.24,-397.45,173.45,508.46,-89.1,125.21,260,91.71,6.67
60.49,6.56,2.79,3.01,63.67,1573.33,3.37,6.23,8.37,10.19,1.04,14,614.83,3.06,1294.28,357,874.15,356.6,236.57,-399.9,169.27,500.42,-89.02,123.98,258,92.89,5.58
60.12,6.59,2.78,3.41,62.22,1550,2.61,2.96,8.41,10.18,1.03,13.25,618.25,3.07,1290.16,363.24,868.95,345.47,239.58,-387.89,169.52,493.47,-87.86,124.89,248,92.82,5.42
59.53,7.29,2.78,3.64,60.44,1376.67,2.06,1.02,8.4,10.36,1.02,10.67,607.3,3.03,1295.85,347.17,856.39,347.32,234.9,-415.82,164.08,514.08,-88.81,120.61,256,92.36,6.04
